yearName,regionName,expectancy,percent
2030,Low-income countries,67.72,1
2035,Low-income countries,68.8,1
2040,Low-income countries,69.77,1
2045,Low-income countries,70.66,1
2050,Low-income countries,71.47,1
2055,Low-income countries,72.22,1
2060,Low-income countries,72.92,1
2065,Low-income countries,73.59,1
2070,Low-income countries,74.24,1
2075,Low-income countries,74.87,1
2080,Low-income countries,75.49,1
2085,Low-income countries,76.11,1
2090,Low-income countries,76.72,1
2095,Low-income countries,77.33,1
1950,No income group available,51.63,1
1955,No income group available,55.72,1
1960,No income group available,58.85,1
1965,No income group available,61.6,1
1970,No income group available,63.93,1
1975,No income group available,66.18,1
1980,No income group available,67.83,1
1985,No income group available,70.26,1
1990,No income group available,72.22,1
1995,No income group available,74.05,1
2000,No income group available,75.7,1
2005,No income group available,77.05,1
2010,No income group available,78.42,1
2015,No income group available,79.28,1
2020,No income group available,80.29,1
2025,No income group available,81.05,1
2030,No income group available,81.75,1
2035,No income group available,82.3,1
2040,No income group available,82.81,1
2045,No income group available,83.27,1
2050,No income group available,83.72,1
2055,No income group available,84.17,1
2060,No income group available,84.64,1
2065,No income group available,85.16,1
2070,No income group available,85.72,1
2075,No income group available,86.32,1
2080,No income group available,86.92,1
2085,No income group available,87.49,1
2090,No income group available,88.04,1
2095,No income group available,88.56,1
