yearName,regionName,expectancy,percent
2065,"Less developed regions, excluding least developed countries",78.96,1
2070,"Less developed regions, excluding least developed countries",79.48,1
2075,"Less developed regions, excluding least developed countries",79.99,1
2080,"Less developed regions, excluding least developed countries",80.48,1
2085,"Less developed regions, excluding least developed countries",80.97,1
2090,"Less developed regions, excluding least developed countries",81.46,1
2095,"Less developed regions, excluding least developed countries",81.95,1
1950,"Less developed regions, excluding China",40.71,1
1955,"Less developed regions, excluding China",44.07,1
1960,"Less developed regions, excluding China",47.02,1
1965,"Less developed regions, excluding China",49.77,1
1970,"Less developed regions, excluding China",52.08,1
1975,"Less developed regions, excluding China",54.62,1
1980,"Less developed regions, excluding China",56.85,1
1985,"Less developed regions, excluding China",58.75,1
1990,"Less developed regions, excluding China",60.26,1
1995,"Less developed regions, excluding China",61.66,1
2000,"Less developed regions, excluding China",63.24,1
2005,"Less developed regions, excluding China",65.33,1
2010,"Less developed regions, excluding China",67.52,1
2015,"Less developed regions, excluding China",69.07,1
2020,"Less developed regions, excluding China",70.15,1
2025,"Less developed regions, excluding China",71.14,1
2030,"Less developed regions, excluding China",72.06,1
2035,"Less developed regions, excluding China",72.88,1
2040,"Less developed regions, excluding China",73.64,1
2045,"Less developed regions, excluding China",74.36,1
2050,"Less developed regions, excluding China",75.02,1
2055,"Less developed regions, excluding China",75.64,1
2060,"Less developed regions, excluding China",76.22,1
2065,"Less developed regions, excluding China",76.77,1
2070,"Less developed regions, excluding China",77.31,1
2075,"Less developed regions, excluding China",77.83,1
2080,"Less developed regions, excluding China",78.34,1
2085,"Less developed regions, excluding China",78.85,1
2090,"Less developed regions, excluding China",79.34,1
2095,"Less developed regions, excluding China",79.84,1
1950,Land-locked Developing Countries (LLDC),38.7,1
1955,Land-locked Developing Countries (LLDC),41.2,1
1960,Land-locked Developing Countries (LLDC),43.73,1
1965,Land-locked Developing Countries (LLDC),45.85,1
1970,Land-locked Developing Countries (LLDC),47.71,1
1975,Land-locked Developing Countries (LLDC),49.34,1
1980,Land-locked Developing Countries (LLDC),50.91,1
1985,Land-locked Developing Countries (LLDC),52.56,1
1990,Land-locked Developing Countries (LLDC),51.58,1
1995,Land-locked Developing Countries (LLDC),53.06,1
2000,Land-locked Developing Countries (LLDC),55,1
2005,Land-locked Developing Countries (LLDC),58.72,1
2010,Land-locked Developing Countries (LLDC),62.81,1
2015,Land-locked Developing Countries (LLDC),65.23,1
2020,Land-locked Developing Countries (LLDC),66.68,1
2025,Land-locked Developing Countries (LLDC),67.95,1
2030,Land-locked Developing Countries (LLDC),69.07,1
2035,Land-locked Developing Countries (LLDC),70.08,1
2040,Land-locked Developing Countries (LLDC),70.99,1
2045,Land-locked Developing Countries (LLDC),71.82,1
2050,Land-locked Developing Countries (LLDC),72.59,1
2055,Land-locked Developing Countries (LLDC),73.31,1
2060,Land-locked Developing Countries (LLDC),74.01,1
2065,Land-locked Developing Countries (LLDC),74.67,1
2070,Land-locked Developing Countries (LLDC),75.31,1
2075,Land-locked Developing Countries (LLDC),75.93,1
2080,Land-locked Developing Countries (LLDC),76.54,1
2085,Land-locked Developing Countries (LLDC),77.15,1
2090,Land-locked Developing Countries (LLDC),77.75,1
2095,Land-locked Developing Countries (LLDC),78.36,1
1950,Small Island Developing States (SIDS),49.1,1
1955,Small Island Developing States (SIDS),52.68,1
1960,Small Island Developing States (SIDS),55.58,1
1965,Small Island Developing States (SIDS),58.1,1
1970,Small Island Developing States (SIDS),60.3,1
1975,Small Island Developing States (SIDS),61.88,1
1980,Small Island Developing States (SIDS),63.61,1
1985,Small Island Developing States (SIDS),64.98,1
1990,Small Island Developing States (SIDS),66.06,1
1995,Small Island Developing States (SIDS),67.33,1
2000,Small Island Developing States (SIDS),68.53,1
2005,Small Island Developing States (SIDS),69.84,1
2010,Small Island Developing States (SIDS),71,1
2015,Small Island Developing States (SIDS),72.12,1
2020,Small Island Developing States (SIDS),73.04,1
2025,Small Island Developing States (SIDS),73.96,1
2030,Small Island Developing States (SIDS),74.84,1
2035,Small Island Developing States (SIDS),75.56,1
2040,Small Island Developing States (SIDS),76.19,1
2045,Small Island Developing States (SIDS),76.74,1
2050,Small Island Developing States (SIDS),77.24,1
2055,Small Island Developing States (SIDS),77.72,1
2060,Small Island Developing States (SIDS),78.16,1
2065,Small Island Developing States (SIDS),78.6,1
2070,Small Island Developing States (SIDS),79.04,1
2075,Small Island Developing States (SIDS),79.46,1
2080,Small Island Developing States (SIDS),79.88,1
2085,Small Island Developing States (SIDS),80.29,1
2090,Small Island Developing States (SIDS),80.71,1
2095,Small Island Developing States (SIDS),81.15,1
